product1,product2,frequency,avg_purchase_together
Electra Cruiser 1 (24-Inch) - 2016,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,3,2.0
Surly Straggler 650b - 2016,Electra Townie Original 21D - 2016,3,2.0
Trek Slash 8 27.5 - 2016,Electra Townie Original 21D - 2016,3,2.0
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,2.0
Heller Shagamaw Frame - 2016,Electra Townie Original 21D - 2016,2,2.0
Electra Cruiser 1 (24-Inch) - 2016,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3.0
Electra Cruiser 1 (24-Inch) - 2016,Electra Townie Original 7D - 2015/2016,1,2.0
Electra Cruiser 7D Tall - 2016/2018,Electra Townie Commute 8D - 2018,1,2.0
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Straight 8 3i - 2018,1,2.0
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Electra Tiger Shark 1 (20-inch) - Boys' - 2018,1,2.0
